 TESTING TRANPOSE TYPE 362514
 Hirata Reference =    2.664166     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      1.06407     2.50376     1.06407     2.50376
       2 Loop 123465      1.24408     2.14148     1.06407     2.50376
       3 Loop 123546      1.37209     1.94169     1.06407     2.50376
       4 Loop 123645      1.36808     1.94737     1.06407     2.50376
       5 Loop 123564      1.33608     1.99401     1.06407     2.50376
       6 Loop 123654      1.49209     1.78552     1.06407     2.50376
       7 Loop 124356      1.37209     1.94169     1.06407     2.50376
       8 Loop 124365      1.68410     1.58195     1.06407     2.50376
       9 Loop 125346      1.40009     1.90286     1.06407     2.50376
      10 Loop 126345      1.51610     1.75726     1.06407     2.50376
      11 Loop 125364      1.33608     1.99401     1.06407     2.50376
      12 Loop 126354      1.61610     1.64851     1.06407     2.50376
      13 Loop 124536      1.39209     1.91379     1.06407     2.50376
      14 Loop 124635      1.74811     1.52403     1.06407     2.50376
      15 Loop 125436      1.48009     1.80000     1.06407     2.50376
      16 Loop 126435      1.78411     1.49327     1.06407     2.50376
      17 Loop 125634      1.26008     2.11429     1.06407     2.50376
      18 Loop 126534      1.48409     1.79515     1.06407     2.50376
      19 Loop 124563      1.76011     1.51364     1.06407     2.50376
      20 Loop 124653      1.70011     1.56706     1.06407     2.50376
      21 Loop 125463      1.69210     1.57447     1.06407     2.50376
      22 Loop 126453      1.79612     1.48329     1.06407     2.50376
      23 Loop 125643      1.65210     1.61259     1.06407     2.50376
      24 Loop 126543      1.77611     1.50000     1.06407     2.50376
      25 Loop 132456      0.99206     2.68548     0.99206     2.68548
      26 Loop 132465      1.29608     2.05555     0.99206     2.68548
      27 Loop 132546      1.38808     1.91931     0.99206     2.68548
      28 Loop 132645      1.27608     2.08777     0.99206     2.68548
      29 Loop 132564      1.37609     1.93604     0.99206     2.68548
      30 Loop 132654      1.41209     1.88669     0.99206     2.68548
      31 Loop 142356      2.00013     1.33200     0.99206     2.68548
      32 Loop 142365      2.26814     1.17460     0.99206     2.68548
      33 Loop 152346      1.91212     1.39331     0.99206     2.68548
      34 Loop 162345      3.17620     0.83879     0.99206     2.68548
      35 Loop 152364      1.58410     1.68182     0.99206     2.68548
      36 Loop 162354      3.12420     0.85275     0.99206     2.68548
      37 Loop 142536      1.98812     1.34004     0.99206     2.68548
      38 Loop 142635      2.30415     1.15625     0.99206     2.68548
      39 Loop 152436      1.80811     1.47345     0.99206     2.68548
      40 Loop 162435      3.44021     0.77442     0.99206     2.68548
      41 Loop 152634      1.46809     1.81472     0.99206     2.68548
      42 Loop 162534      3.10419     0.85825     0.99206     2.68548
      43 Loop 142563      2.27615     1.17047     0.99206     2.68548
      44 Loop 142653      2.24414     1.18717     0.99206     2.68548
      45 Loop 152463      1.74010     1.53104     0.99206     2.68548
      46 Loop 162453      3.57223     0.74580     0.99206     2.68548
      47 Loop 152643      1.80412     1.47672     0.99206     2.68548
      48 Loop 162543      3.40822     0.78169     0.99206     2.68548
      49 Loop 134256      1.38809     1.91930     0.99206     2.68548
      50 Loop 134265      1.82812     1.45733     0.99206     2.68548
      51 Loop 135246      1.27208     2.09434     0.99206     2.68548
      52 Loop 136245      1.42809     1.86555     0.99206     2.68548
      53 Loop 135264      1.31608     2.02432     0.99206     2.68548
      54 Loop 136254      1.56010     1.70769     0.99206     2.68548
      55 Loop 143256      1.76411     1.51021     0.99206     2.68548
      56 Loop 143265      2.16413     1.23106     0.99206     2.68548
      57 Loop 153246      1.86812     1.42612     0.99206     2.68548
      58 Loop 163245      3.32421     0.80144     0.99206     2.68548
      59 Loop 153264      1.45609     1.82967     0.99206     2.68548
      60 Loop 163254      3.06819     0.86832     0.99206     2.68548
      61 Loop 145236      2.21214     1.20434     0.99206     2.68548
      62 Loop 146235      2.50816     1.06220     0.99206     2.68548
      63 Loop 154236      2.08813     1.27586     0.99206     2.68548
      64 Loop 164235      3.70023     0.72000     0.99206     2.68548
      65 Loop 156234      1.34009     1.98805     0.99206     2.68548
      66 Loop 165234      3.42822     0.77713     0.99206     2.68548
      67 Loop 145263      2.38815     1.11558     0.99206     2.68548
      68 Loop 146253      2.43214     1.09540     0.99206     2.68548
      69 Loop 154263      2.11612     1.25899     0.99206     2.68548
      70 Loop 164253      3.68823     0.72234     0.99206     2.68548
      71 Loop 156243      1.89613     1.40505     0.99206     2.68548
      72 Loop 165243      3.53622     0.75339     0.99206     2.68548
      73 Loop 134526      1.58411     1.68181     0.99206     2.68548
      74 Loop 134625      1.76811     1.50679     0.99206     2.68548
      75 Loop 135426      1.50009     1.77600     0.99206     2.68548
      76 Loop 136425      1.58411     1.68181     0.99206     2.68548
      77 Loop 135624      1.26407     2.10761     0.99206     2.68548
      78 Loop 136524      1.45609     1.82968     0.99206     2.68548
      79 Loop 143526      2.28813     1.16434     0.99206     2.68548
      80 Loop 143625      2.23215     1.19354     0.99206     2.68548
      81 Loop 153426      1.76811     1.50679     0.99206     2.68548
      82 Loop 163425      3.56021     0.74832     0.99206     2.68548
      83 Loop 153624      1.31609     2.02431     0.99206     2.68548
      84 Loop 163524      3.06020     0.87059     0.99206     2.68548
      85 Loop 145326      2.24814     1.18505     0.99206     2.68548
      86 Loop 146325      2.62418     1.01524     0.99206     2.68548
      87 Loop 154326      2.09213     1.27342     0.99206     2.68548
      88 Loop 164325      3.79224     0.70253     0.99206     2.68548
      89 Loop 156324      1.37608     1.93605     0.99206     2.68548
      90 Loop 165324      3.27222     0.81418     0.99206     2.68548
      91 Loop 145623      2.75217     0.96802     0.99206     2.68548
      92 Loop 146523      2.72816     0.97654     0.99206     2.68548
      93 Loop 154623      2.48015     1.07420     0.99206     2.68548
      94 Loop 164523      4.08026     0.65294     0.99206     2.68548
      95 Loop 156423      2.13213     1.24954     0.99206     2.68548
      96 Loop 165423      3.85623     0.69087     0.99206     2.68548
      97 Loop 134562      1.77211     1.50339     0.99206     2.68548
      98 Loop 134652      1.72011     1.54884     0.99206     2.68548
      99 Loop 135462      1.83211     1.45415     0.99206     2.68548
     100 Loop 136452      1.62810     1.63637     0.99206     2.68548
     101 Loop 135642      1.40009     1.90286     0.99206     2.68548
     102 Loop 136542      1.49609     1.78075     0.99206     2.68548
     103 Loop 143562      2.28415     1.16637     0.99206     2.68548
     104 Loop 143652      2.16814     1.22878     0.99206     2.68548
     105 Loop 153462      1.76410     1.51021     0.99206     2.68548
     106 Loop 163452      3.78023     0.70476     0.99206     2.68548
     107 Loop 153642      1.42809     1.86555     0.99206     2.68548
     108 Loop 163542      3.47221     0.76728     0.99206     2.68548
     109 Loop 145362      2.20015     1.21090     0.99206     2.68548
     110 Loop 146352      2.33615     1.14041     0.99206     2.68548
     111 Loop 154362      2.16412     1.23106     0.99206     2.68548
     112 Loop 164352      3.88425     0.68589     0.99206     2.68548
     113 Loop 156342      1.62811     1.63635     0.99206     2.68548
     114 Loop 165342      3.62823     0.73429     0.99206     2.68548
     115 Loop 145632      2.71216     0.98230     0.99206     2.68548
     116 Loop 146532      2.90018     0.91862     0.99206     2.68548
     117 Loop 154632      2.47615     1.07593     0.99206     2.68548
     118 Loop 164532      4.05626     0.65680     0.99206     2.68548
     119 Loop 156432      2.20012     1.21092     0.99206     2.68548
     120 Loop 165432      3.93625     0.67683     0.99206     2.68548
     121 Loop 213456      1.03607     2.57141     0.99206     2.68548
     122 Loop 213465      1.18008     2.25761     0.99206     2.68548
     123 Loop 213546      1.09207     2.43955     0.99206     2.68548
     124 Loop 213645      1.31210     2.03045     0.99206     2.68548
     125 Loop 213564      1.11209     2.39564     0.99206     2.68548
     126 Loop 213654      1.04407     2.55172     0.99206     2.68548
     127 Loop 214356      1.22009     2.18358     0.99206     2.68548
     128 Loop 214365      1.71210     1.55608     0.99206     2.68548
     129 Loop 215346      1.02005     2.61180     0.99206     2.68548
     130 Loop 216345      1.41211     1.88666     0.99206     2.68548
     131 Loop 215364      1.16006     2.29657     0.99206     2.68548
     132 Loop 216354      1.06006     2.51323     0.99206     2.68548
     133 Loop 214536      1.27609     2.08775     0.99206     2.68548
     134 Loop 214635      1.64410     1.62044     0.99206     2.68548
     135 Loop 215436      1.27609     2.08775     0.99206     2.68548
     136 Loop 216435      1.61209     1.65262     0.99206     2.68548
     137 Loop 215634      0.97604     2.72956     0.97604     2.72956
     138 Loop 216534      1.12405     2.37014     0.97604     2.72956
     139 Loop 214563      1.70010     1.56706     0.97604     2.72956
     140 Loop 214653      1.70410     1.56338     0.97604     2.72956
     141 Loop 215463      1.54410     1.72539     0.97604     2.72956
     142 Loop 216453      1.78012     1.49662     0.97604     2.72956
     143 Loop 215643      1.56412     1.70330     0.97604     2.72956
     144 Loop 216543      1.69611     1.57075     0.97604     2.72956
     145 Loop 312456      0.96008     2.77493     0.96008     2.77493
     146 Loop 312465      1.10806     2.40435     0.96008     2.77493
     147 Loop 312546      1.16010     2.29651     0.96008     2.77493
     148 Loop 312645      1.22006     2.18363     0.96008     2.77493
     149 Loop 312564      1.04407     2.55172     0.96008     2.77493
     150 Loop 312654      0.98004     2.71842     0.96008     2.77493
     151 Loop 412356      5.78036     0.46090     0.96008     2.77493
     152 Loop 412365      5.82034     0.45773     0.96008     2.77493
     153 Loop 512346      1.98813     1.34004     0.96008     2.77493
     154 Loop 612345      3.39221     0.78538     0.96008     2.77493
     155 Loop 512364      1.25211     2.12775     0.96008     2.77493
     156 Loop 612354      3.35620     0.79380     0.96008     2.77493
     157 Loop 412536      5.58835     0.47674     0.96008     2.77493
     158 Loop 412635      5.66034     0.47067     0.96008     2.77493
     159 Loop 512436      2.00412     1.32934     0.96008     2.77493
     160 Loop 612435      3.71625     0.71690     0.96008     2.77493
     161 Loop 512634      1.07608     2.47581     0.96008     2.77493
     162 Loop 612534      3.32022     0.80241     0.96008     2.77493
     163 Loop 412563      5.94437     0.44818     0.96008     2.77493
     164 Loop 412653      5.82034     0.45773     0.96008     2.77493
     165 Loop 512463      1.61609     1.64853     0.96008     2.77493
     166 Loop 612453      4.08426     0.65230     0.96008     2.77493
     167 Loop 512643      1.56808     1.69899     0.96008     2.77493
     168 Loop 612543      3.89624     0.68378     0.96008     2.77493
     169 Loop 314256      1.09607     2.43065     0.96008     2.77493
     170 Loop 314265      1.68011     1.58570     0.96008     2.77493
     171 Loop 315246      0.93207     2.85834     0.93207     2.85834
     172 Loop 316245      1.40408     1.89744     0.93207     2.85834
     173 Loop 315264      1.00806     2.64287     0.93207     2.85834
     174 Loop 316254      1.18808     2.24241     0.93207     2.85834
     175 Loop 413256      5.62436     0.47368     0.93207     2.85834
     176 Loop 413265      5.67233     0.46968     0.93207     2.85834
     177 Loop 513246      1.99213     1.33735     0.93207     2.85834
     178 Loop 613245      3.46021     0.76994     0.93207     2.85834
     179 Loop 513264      1.20007     2.22000     0.93207     2.85834
     180 Loop 613254      3.30820     0.80532     0.93207     2.85834
     181 Loop 415236      5.73233     0.46476     0.93207     2.85834
     182 Loop 416235      5.84436     0.45585     0.93207     2.85834
     183 Loop 514236      2.06015     1.29319     0.93207     2.85834
     184 Loop 614235      3.80823     0.69958     0.93207     2.85834
     185 Loop 516234      1.22406     2.17650     0.93207     2.85834
     186 Loop 615234      3.65622     0.72867     0.93207     2.85834
     187 Loop 415263      6.14838     0.43331     0.93207     2.85834
     188 Loop 416253      6.03238     0.44164     0.93207     2.85834
     189 Loop 514263      2.04013     1.30588     0.93207     2.85834
     190 Loop 614253      4.22424     0.63068     0.93207     2.85834
     191 Loop 516243      1.99213     1.33735     0.93207     2.85834
     192 Loop 615243      4.14825     0.64224     0.93207     2.85834
     193 Loop 314526      1.44809     1.83978     0.93207     2.85834
     194 Loop 314625      1.79211     1.48660     0.93207     2.85834
     195 Loop 315426      4.93231     0.54015     0.93207     2.85834
     196 Loop 316425      4.08426     0.65230     0.93207     2.85834
     197 Loop 315624      2.18015     1.22201     0.93207     2.85834
     198 Loop 316524      2.31613     1.15027     0.93207     2.85834
     199 Loop 413526      6.44839     0.41315     0.93207     2.85834
     200 Loop 413625      6.14038     0.43388     0.93207     2.85834
