 TESTING TRANSACCU TYPE 436215
 Hirata Reference =    8.304520     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      7.14845     1.16172     7.14845     1.16172
       2 Loop 123465      4.14426     2.00386     4.14426     2.00386
       3 Loop 123546      7.89249     1.05220     4.14426     2.00386
       4 Loop 123645      4.40827     1.88385     4.14426     2.00386
       5 Loop 123564     11.03669     0.75245     4.14426     2.00386
       6 Loop 123654     10.04863     0.82643     4.14426     2.00386
       7 Loop 124356      7.46846     1.11194     4.14426     2.00386
       8 Loop 124365      4.38027     1.89589     4.14426     2.00386
       9 Loop 125346     24.02151     0.34571     4.14426     2.00386
      10 Loop 126345      8.11651     1.02316     4.14426     2.00386
      11 Loop 125364     22.95343     0.36180     4.14426     2.00386
      12 Loop 126354     12.45677     0.66667     4.14426     2.00386
      13 Loop 124536      9.23657     0.89909     4.14426     2.00386
      14 Loop 124635      6.48041     1.28148     4.14426     2.00386
      15 Loop 125436     31.80199     0.26113     4.14426     2.00386
      16 Loop 126435     12.00874     0.69154     4.14426     2.00386
      17 Loop 125634     47.89900     0.17338     4.14426     2.00386
      18 Loop 126534     12.08875     0.68696     4.14426     2.00386
      19 Loop 124563     10.36066     0.80154     4.14426     2.00386
      20 Loop 124653      9.02856     0.91981     4.14426     2.00386
      21 Loop 125463     24.48953     0.33910     4.14426     2.00386
      22 Loop 126453     12.05676     0.68879     4.14426     2.00386
      23 Loop 125643     30.02188     0.27662     4.14426     2.00386
      24 Loop 126543     11.60074     0.71586     4.14426     2.00386
      25 Loop 132456      7.38446     1.12459     4.14426     2.00386
      26 Loop 132465      4.30429     1.92936     4.14426     2.00386
      27 Loop 132546      8.00449     1.03748     4.14426     2.00386
      28 Loop 132645      4.39627     1.88899     4.14426     2.00386
      29 Loop 132564     10.72067     0.77463     4.14426     2.00386
      30 Loop 132654      9.99661     0.83073     4.14426     2.00386
      31 Loop 142356      7.19244     1.15462     4.14426     2.00386
      32 Loop 142365      4.20425     1.97527     4.14426     2.00386
      33 Loop 152346     22.88144     0.36294     4.14426     2.00386
