 TESTING TRANSACCU TYPE 326541
 Hirata Reference =    6.716420     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456     17.42509     0.38545    17.42509     0.38545
       2 Loop 123465     15.79699     0.42517    15.79699     0.42517
       3 Loop 123546     18.56916     0.36170    15.79699     0.42517
       4 Loop 123645     15.28495     0.43941    15.28495     0.43941
       5 Loop 123564     12.88481     0.52127    12.88481     0.52127
       6 Loop 123654     12.76080     0.52633    12.76080     0.52633
       7 Loop 124356     17.45309     0.38483    12.76080     0.52633
       8 Loop 124365     17.69310     0.37961    12.76080     0.52633
       9 Loop 125346     18.80518     0.35716    12.76080     0.52633
      10 Loop 126345     16.55704     0.40565    12.76080     0.52633
      11 Loop 125364     13.15683     0.51049    12.76080     0.52633
      12 Loop 126354     13.65686     0.49180    12.76080     0.52633
      13 Loop 124536     19.89725     0.33756    12.76080     0.52633
      14 Loop 124635     17.90112     0.37520    12.76080     0.52633
      15 Loop 125436     20.28526     0.33110    12.76080     0.52633
      16 Loop 126435     18.83719     0.35655    12.76080     0.52633
      17 Loop 125634     13.50085     0.49748    12.76080     0.52633
      18 Loop 126534     13.82886     0.48568    12.76080     0.52633
      19 Loop 124563     21.20132     0.31679    12.76080     0.52633
      20 Loop 124653     18.56516     0.36178    12.76080     0.52633
      21 Loop 125463     21.55334     0.31162    12.76080     0.52633
      22 Loop 126453     20.97330     0.32024    12.76080     0.52633
      23 Loop 125643     19.64520     0.34189    12.76080     0.52633
      24 Loop 126543     21.54135     0.31179    12.76080     0.52633
      25 Loop 132456     17.54108     0.38290    12.76080     0.52633
      26 Loop 132465     15.83698     0.42410    12.76080     0.52633
      27 Loop 132546     18.57315     0.36162    12.76080     0.52633
      28 Loop 132645     15.29297     0.43918    12.76080     0.52633
      29 Loop 132564     12.87683     0.52159    12.76080     0.52633
      30 Loop 132654     12.76083     0.52633    12.76080     0.52633
      31 Loop 142356     17.55310     0.38263    12.76080     0.52633
      32 Loop 142365     17.68909     0.37969    12.76080     0.52633
      33 Loop 152346     19.78925     0.33940    12.76080     0.52633
      34 Loop 162345     18.67712     0.35961    12.76080     0.52633
      35 Loop 152364     13.37683     0.50209    12.76080     0.52633
      36 Loop 162354     15.72101     0.42723    12.76080     0.52633
      37 Loop 142536     19.91730     0.33722    12.76080     0.52633
      38 Loop 142635     17.92511     0.37469    12.76080     0.52633
      39 Loop 152436     21.08136     0.31860    12.76080     0.52633
      40 Loop 162435     20.79730     0.32295    12.76080     0.52633
      41 Loop 152634     13.83691     0.48540    12.76080     0.52633
      42 Loop 162534     15.86499     0.42335    12.76080     0.52633
      43 Loop 142563     21.33331     0.31483    12.76080     0.52633
      44 Loop 142653     18.72516     0.35868    12.76080     0.52633
      45 Loop 152463     22.20135     0.30252    12.76080     0.52633
      46 Loop 162453     28.93787     0.23210    12.76080     0.52633
      47 Loop 152643     20.63330     0.32551    12.76080     0.52633
      48 Loop 162543     28.98181     0.23175    12.76080     0.52633
      49 Loop 134256     17.45709     0.38474    12.76080     0.52633
      50 Loop 134265     17.69708     0.37952    12.76080     0.52633
      51 Loop 135246     18.80914     0.35708    12.76080     0.52633
      52 Loop 136245     16.54504     0.40595    12.76080     0.52633
      53 Loop 135264     13.16083     0.51033    12.76080     0.52633
      54 Loop 136254     13.66882     0.49137    12.76080     0.52633
      55 Loop 143256     17.55707     0.38255    12.76080     0.52633
      56 Loop 143265     17.59711     0.38168    12.76080     0.52633
      57 Loop 153246     19.74524     0.34015    12.76080     0.52633
      58 Loop 163245     18.43323     0.36436    12.76080     0.52633
      59 Loop 153264     13.50488     0.49733    12.76080     0.52633
      60 Loop 163254     15.68091     0.42832    12.76080     0.52633
      61 Loop 145236     20.74927     0.32369    12.76080     0.52633
      62 Loop 146235     19.68518     0.34119    12.76080     0.52633
      63 Loop 154236     21.20532     0.31673    12.76080     0.52633
      64 Loop 164235     21.18127     0.31709    12.76080     0.52633
      65 Loop 156234     16.38904     0.40981    12.76080     0.52633
      66 Loop 165234     16.34900     0.41082    12.76080     0.52633
      67 Loop 145263     22.04932     0.30461    12.76080     0.52633
