 TESTING TRANPOSE TYPE 365214
 Hirata Reference =    2.804176     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      1.46809     1.91008     1.46809     1.91008
       2 Loop 123465      1.71211     1.63785     1.46809     1.91008
       3 Loop 123546      1.34808     2.08012     1.34808     2.08012
       4 Loop 123645      1.49609     1.87433     1.34808     2.08012
       5 Loop 123564      1.38409     2.02601     1.34808     2.08012
       6 Loop 123654      1.35208     2.07397     1.34808     2.08012
       7 Loop 124356      1.76011     1.59318     1.34808     2.08012
       8 Loop 124365      2.02013     1.38812     1.34808     2.08012
       9 Loop 125346      1.30408     2.15031     1.30408     2.15031
      10 Loop 126345      1.53209     1.83029     1.30408     2.15031
      11 Loop 125364      1.38009     2.03188     1.30408     2.15031
      12 Loop 126354      1.36409     2.05572     1.30408     2.15031
      13 Loop 124536      1.75611     1.59681     1.30408     2.15031
      14 Loop 124635      2.04013     1.37451     1.30408     2.15031
      15 Loop 125436      1.38809     2.02017     1.30408     2.15031
      16 Loop 126435      1.70011     1.64941     1.30408     2.15031
      17 Loop 125634      1.33208     2.10510     1.30408     2.15031
      18 Loop 126534      1.34808     2.08012     1.30408     2.15031
      19 Loop 124563      2.01213     1.39364     1.30408     2.15031
      20 Loop 124653      2.08413     1.34549     1.30408     2.15031
      21 Loop 125463      1.62010     1.73086     1.30408     2.15031
      22 Loop 126453      1.80411     1.55433     1.30408     2.15031
      23 Loop 125643      1.66811     1.68105     1.30408     2.15031
      24 Loop 126543      1.74011     1.61150     1.30408     2.15031
      25 Loop 132456      1.44409     1.94183     1.30408     2.15031
      26 Loop 132465      1.72011     1.63023     1.30408     2.15031
      27 Loop 132546      1.35209     2.07396     1.30408     2.15031
      28 Loop 132645      1.48409     1.88949     1.30408     2.15031
      29 Loop 132564      1.38809     2.02017     1.30408     2.15031
      30 Loop 132654      1.37209     2.04373     1.30408     2.15031
      31 Loop 142356      2.14814     1.30540     1.30408     2.15031
      32 Loop 142365      2.36015     1.18814     1.30408     2.15031
