 TESTING TRANPOSE TYPE 362541
 Hirata Reference =    2.500156     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      5.96037     0.41946     5.96037     0.41946
       2 Loop 123465      5.92437     0.42201     5.92437     0.42201
       3 Loop 123546      6.58841     0.37948     5.92437     0.42201
       4 Loop 123645      6.02038     0.41528     5.92437     0.42201
       5 Loop 123564      6.60441     0.37856     5.92437     0.42201
       6 Loop 123654      6.58041     0.37994     5.92437     0.42201
       7 Loop 124356      5.82036     0.42955     5.82036     0.42955
       8 Loop 124365      5.94837     0.42031     5.82036     0.42955
       9 Loop 125346      6.40840     0.39014     5.82036     0.42955
      10 Loop 126345      5.98037     0.41806     5.82036     0.42955
      11 Loop 125364      6.97243     0.35858     5.82036     0.42955
      12 Loop 126354      6.56841     0.38063     5.82036     0.42955
      13 Loop 124536      5.90037     0.42373     5.82036     0.42955
      14 Loop 124635      6.01637     0.41556     5.82036     0.42955
      15 Loop 125436      6.05638     0.41281     5.82036     0.42955
      16 Loop 126435      6.22439     0.40167     5.82036     0.42955
      17 Loop 125634      6.93643     0.36044     5.82036     0.42955
      18 Loop 126534      7.00443     0.35694     5.82036     0.42955
      19 Loop 124563      6.45240     0.38748     5.82036     0.42955
      20 Loop 124653      6.43240     0.38868     5.82036     0.42955
      21 Loop 125463      5.58035     0.44803     5.58035     0.44803
      22 Loop 126453      6.43240     0.38868     5.58035     0.44803
      23 Loop 125643      6.24039     0.40064     5.58035     0.44803
      24 Loop 126543      6.45639     0.38724     5.58035     0.44803
      25 Loop 132456      6.17238     0.40506     5.58035     0.44803
      26 Loop 132465      6.12039     0.40850     5.58035     0.44803
      27 Loop 132546      6.38040     0.39185     5.58035     0.44803
      28 Loop 132645      6.28839     0.39758     5.58035     0.44803
      29 Loop 132564      6.05237     0.41309     5.58035     0.44803
      30 Loop 132654      6.54440     0.38203     5.58035     0.44803
      31 Loop 142356      5.92436     0.42201     5.58035     0.44803
      32 Loop 142365      5.78436     0.43223     5.58035     0.44803
      33 Loop 152346      6.70441     0.37291     5.58035     0.44803
      34 Loop 162345      7.19644     0.34742     5.58035     0.44803
      35 Loop 152364      7.11644     0.35132     5.58035     0.44803
      36 Loop 162354      7.86449     0.31790     5.58035     0.44803
