 TESTING TRANSACCU TYPE 326514
 Hirata Reference =    10.73267     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      7.49647     1.43170     7.49647     1.43170
       2 Loop 123465      6.56841     1.63398     6.56841     1.63398
       3 Loop 123546      9.01656     1.19033     6.56841     1.63398
       4 Loop 123645      6.72842     1.59513     6.56841     1.63398
       5 Loop 123564      7.40446     1.44949     6.56841     1.63398
       6 Loop 123654      7.69648     1.39449     6.56841     1.63398
       7 Loop 124356     31.27396     0.34318     6.56841     1.63398
       8 Loop 124365     20.91331     0.51320     6.56841     1.63398
       9 Loop 125346      9.96062     1.07751     6.56841     1.63398
      10 Loop 126345     12.56479     0.85419     6.56841     1.63398
      11 Loop 125364      6.95644     1.54284     6.56841     1.63398
      12 Loop 126354     12.50478     0.85829     6.56841     1.63398
      13 Loop 124536     33.56610     0.31975     6.56841     1.63398
      14 Loop 124635     26.82968     0.40003     6.56841     1.63398
      15 Loop 125436     11.60072     0.92517     6.56841     1.63398
      16 Loop 126435     15.33295     0.69997     6.56841     1.63398
      17 Loop 125634     13.09683     0.81949     6.56841     1.63398
      18 Loop 126534     13.03284     0.82351     6.56841     1.63398
      19 Loop 124563     31.69000     0.33868     6.56841     1.63398
      20 Loop 124653     28.11374     0.38176     6.56841     1.63398
      21 Loop 125463     13.38486     0.80185     6.56841     1.63398
      22 Loop 126453     16.10098     0.66658     6.56841     1.63398
      23 Loop 125643     17.22107     0.62323     6.56841     1.63398
      24 Loop 126543     17.66510     0.60756     6.56841     1.63398
      25 Loop 132456      7.89651     1.35917     6.56841     1.63398
      26 Loop 132465      6.51239     1.64804     6.51239     1.64804
      27 Loop 132546      9.01254     1.19086     6.51239     1.64804
      28 Loop 132645      6.24438     1.71877     6.24438     1.71877
      29 Loop 132564      6.62439     1.62018     6.24438     1.71877
      30 Loop 132654      6.89645     1.55626     6.24438     1.71877
      31 Loop 142356     30.40991     0.35293     6.24438     1.71877
      32 Loop 142365     24.62955     0.43576     6.24438     1.71877
      33 Loop 152346      9.80060     1.09510     6.24438     1.71877
      34 Loop 162345     13.08084     0.82049     6.24438     1.71877
      35 Loop 152364      7.57648     1.41658     6.24438     1.71877
      36 Loop 162354     12.84479     0.83557     6.24438     1.71877
      37 Loop 142536     36.27429     0.29588     6.24438     1.71877
      38 Loop 142635     25.34955     0.42339     6.24438     1.71877
      39 Loop 152436     10.46863     1.02522     6.24438     1.71877
      40 Loop 162435     12.85681     0.83478     6.24438     1.71877
      41 Loop 152634     12.64081     0.84905     6.24438     1.71877
      42 Loop 162534     12.68079     0.84637     6.24438     1.71877
      43 Loop 142563     40.87854     0.26255     6.24438     1.71877
      44 Loop 142653     37.38232     0.28711     6.24438     1.71877
      45 Loop 152463     14.52887     0.73871     6.24438     1.71877
      46 Loop 162453     16.77301     0.63988     6.24438     1.71877
      47 Loop 152643     17.34106     0.61892     6.24438     1.71877
      48 Loop 162543     17.53308     0.61214     6.24438     1.71877
      49 Loop 134256     22.50140     0.47698     6.24438     1.71877
      50 Loop 134265     23.42145     0.45824     6.24438     1.71877
      51 Loop 135246      9.68060     1.10868     6.24438     1.71877
      52 Loop 136245     11.69275     0.91789     6.24438     1.71877
      53 Loop 135264      6.74841     1.59040     6.24438     1.71877
      54 Loop 136254     11.66870     0.91978     6.24438     1.71877
      55 Loop 143256     24.94159     0.43031     6.24438     1.71877
      56 Loop 143265     25.09753     0.42764     6.24438     1.71877
      57 Loop 153246      9.76459     1.09914     6.24438     1.71877
      58 Loop 163245     12.62079     0.85040     6.24438     1.71877
      59 Loop 153264      7.55652     1.42032     6.24438     1.71877
      60 Loop 163254     13.17682     0.81451     6.24438     1.71877
      61 Loop 145236     29.98590     0.35792     6.24438     1.71877
      62 Loop 146235     29.60986     0.36247     6.24438     1.71877
      63 Loop 154236     30.96204     0.34664     6.24438     1.71877
      64 Loop 164235     34.70215     0.30928     6.24438     1.71877
      65 Loop 156234     12.80481     0.83818     6.24438     1.71877
      66 Loop 165234     14.18481     0.75663     6.24438     1.71877
      67 Loop 145263     33.72607     0.31823     6.24438     1.71877
      68 Loop 146253     44.65881     0.24033     6.24438     1.71877
      69 Loop 154263     37.61829     0.28530     6.24438     1.71877
      70 Loop 164253     39.53455     0.27148     6.24438     1.71877
      71 Loop 156243     17.09705     0.62775     6.24438     1.71877
      72 Loop 165243     17.41309     0.61636     6.24438     1.71877
