 TESTING TRANSACCU TYPE 632154 (best = 321654)
 Hirata Reference =    8.776547     seconds
 Algorithm         Jeff           Speedup          Best
     105 Loop 153462      8.07251     1.08721     2.31615     3.78929
     106 Loop 163452      9.32861     0.94082     2.31615     3.78929
     107 Loop 153642      9.89270     0.88717     2.31615     3.78929
     108 Loop 163542      9.29260     0.94447     2.31615     3.78929
     109 Loop 145362     20.68933     0.42421     2.31615     3.78929
     110 Loop 146352     23.10547     0.37985     2.31615     3.78929
     111 Loop 154362     20.64124     0.42519     2.31615     3.78929
     112 Loop 164352     10.54456     0.83233     2.31615     3.78929
     113 Loop 156342     10.83264     0.81019     2.31615     3.78929
     114 Loop 165342      9.34058     0.93962     2.31615     3.78929
     115 Loop 145632     26.71375     0.32854     2.31615     3.78929
     116 Loop 146532     28.32971     0.30980     2.31615     3.78929
     117 Loop 154632     26.62561     0.32963     2.31615     3.78929
     118 Loop 164532     10.56470     0.83074     2.31615     3.78929
     119 Loop 156432     10.91675     0.80395     2.31615     3.78929
     120 Loop 165432      9.75269     0.89991     2.31615     3.78929
     121 Loop 213456      7.74451     1.13326     2.31615     3.78929
     122 Loop 213465      2.81616     3.11649     2.31615     3.78929
     123 Loop 213546      7.43652     1.18019     2.31615     3.78929
     124 Loop 213645      2.32422     3.77613     2.31615     3.78929
     125 Loop 213564      2.12805     4.12422     2.12805     4.12422
     126 Loop 213654      2.04810     4.28522     2.04810     4.28522
     127 Loop 214356      8.16858     1.07443     2.04810     4.28522
     128 Loop 214365      2.99219     2.93315     2.04810     4.28522
     129 Loop 215346      7.76440     1.13036     2.04810     4.28522
     130 Loop 216345      5.38831     1.62881     2.04810     4.28522
     131 Loop 215364      2.57214     3.41215     2.04810     4.28522
     132 Loop 216354      6.38440     1.37469     2.04810     4.28522
     133 Loop 214536      8.33655     1.05278     2.04810     4.28522
     134 Loop 214635      3.54028     2.47905     2.04810     4.28522
     135 Loop 215436      8.40051     1.04476     2.04810     4.28522
     136 Loop 216435      6.14832     1.42747     2.04810     4.28522
     137 Loop 215634      6.28442     1.39656     2.04810     4.28522
     138 Loop 216534      6.30847     1.39123     2.04810     4.28522
     139 Loop 214563      7.18445     1.22160     2.04810     4.28522
     140 Loop 214653      6.76038     1.29823     2.04810     4.28522
     141 Loop 215463      7.26050     1.20881     2.04810     4.28522
     142 Loop 216453      8.46057     1.03735     2.04810     4.28522
     143 Loop 215643      8.52051     1.03005     2.04810     4.28522
     144 Loop 216543      8.65662     1.01385     2.04810     4.28522
     145 Loop 312456      7.56848     1.15962     2.04810     4.28522
     146 Loop 312465      2.82422     3.10760     2.04810     4.28522
     147 Loop 312546      7.41650     1.18338     2.04810     4.28522
     148 Loop 312645      2.34814     3.73765     2.04810     4.28522
     149 Loop 312564      2.15613     4.07051     2.04810     4.28522
     150 Loop 312654      2.08411     4.21118     2.04810     4.28522
     151 Loop 412356     19.65320     0.44657     2.04810     4.28522
     152 Loop 412365     13.43286     0.65336     2.04810     4.28522
     153 Loop 512346      9.27246     0.94652     2.04810     4.28522
     154 Loop 612345      6.15234     1.42654     2.04810     4.28522
     155 Loop 512364      4.75232     1.84679     2.04810     4.28522
     156 Loop 612354      7.01245     1.25157     2.04810     4.28522
     157 Loop 412536     21.10522     0.41585     2.04810     4.28522
     158 Loop 412635     13.68884     0.64115     2.04810     4.28522
     159 Loop 512436      9.53259     0.92069     2.04810     4.28522
     160 Loop 612435      6.93237     1.26602     2.04810     4.28522
     161 Loop 512634      7.37244     1.19045     2.04810     4.28522
     162 Loop 612534      6.97644     1.25803     2.04810     4.28522
     163 Loop 412563     21.48535     0.40849     2.04810     4.28522
     164 Loop 412653     19.52527     0.44950     2.04810     4.28522
     165 Loop 512463      8.43250     1.04080     2.04810     4.28522
     166 Loop 612453      9.52063     0.92185     2.04810     4.28522
     167 Loop 512643     10.03662     0.87445     2.04810     4.28522
     168 Loop 612543      9.47656     0.92613     2.04810     4.28522
     169 Loop 314256      8.22449     1.06712     2.04810     4.28522
     170 Loop 314265      3.08826     2.84191     2.04810     4.28522
     171 Loop 315246      7.93652     1.10584     2.04810     4.28522
     172 Loop 316245      5.83240     1.50479     2.04810     4.28522
     173 Loop 315264      2.78015     3.15686     2.04810     4.28522
     174 Loop 316254      6.55237     1.33945     2.04810     4.28522
     175 Loop 413256     19.54517     0.44904     2.04810     4.28522
     176 Loop 413265     13.31287     0.65925     2.04810     4.28522
     177 Loop 513246      9.32849     0.94083     2.04810     4.28522
     178 Loop 613245      6.25635     1.40282     2.04810     4.28522
     179 Loop 513264      4.73218     1.85465     2.04810     4.28522
     180 Loop 613254      7.03247     1.24800     2.04810     4.28522
     181 Loop 415236     21.96533     0.39956     2.04810     4.28522
     182 Loop 416235     15.84094     0.55404     2.04810     4.28522
     183 Loop 514236     21.66138     0.40517     2.04810     4.28522
     184 Loop 614235      7.82458     1.12166     2.04810     4.28522
     185 Loop 516234      8.76050     1.00183     2.04810     4.28522
     186 Loop 615234      7.48840     1.17202     2.04810     4.28522
     187 Loop 415263     22.23328     0.39475     2.04810     4.28522
     188 Loop 416253     25.94153     0.33832     2.04810     4.28522
     189 Loop 514263     21.85327     0.40161     2.04810     4.28522
     190 Loop 614253     10.62866     0.82574     2.04810     4.28522
     191 Loop 516243     11.19678     0.78385     2.04810     4.28522
     192 Loop 615243      9.63660     0.91075     2.04810     4.28522
     193 Loop 314526      8.64050     1.01574     2.04810     4.28522
     194 Loop 314625      3.70020     2.37191     2.04810     4.28522
     195 Loop 315426      8.64453     1.01527     2.04810     4.28522
     196 Loop 316425      6.55640     1.33862     2.04810     4.28522
     197 Loop 315624      7.04846     1.24517     2.04810     4.28522
     198 Loop 316524      6.98035     1.25732     2.04810     4.28522
     199 Loop 413526     21.01721     0.41759     2.04810     4.28522
     200 Loop 413625     13.42871     0.65357     2.04810     4.28522
     201 Loop 513426      9.85669     0.89042     2.04810     4.28522
     202 Loop 613425      7.12451     1.23188     2.04810     4.28522
     203 Loop 513624      8.26465     1.06194     2.04810     4.28522
     204 Loop 613524      7.60449     1.15413     2.04810     4.28522
     205 Loop 415326     21.79736     0.40264     2.04810     4.28522
     206 Loop 416325     15.68481     0.55956     2.04810     4.28522
     207 Loop 514326     21.66138     0.40517     2.04810     4.28522
     208 Loop 614325      7.90039     1.11090     2.04810     4.28522
     209 Loop 516324      8.79248     0.99819     2.04810     4.28522
     210 Loop 615324      7.60449     1.15413     2.04810     4.28522
     211 Loop 415623     26.41382     0.33227     2.04810     4.28522
     212 Loop 416523     28.14185     0.31187     2.04810     4.28522
     213 Loop 514623     26.16162     0.33547     2.04810     4.28522
     214 Loop 614523     10.70044     0.82020     2.04810     4.28522
     215 Loop 516423     11.08472     0.79177     2.04810     4.28522
     216 Loop 615423      9.89673     0.88681     2.04810     4.28522
     217 Loop 314562      6.66455     1.31690     2.04810     4.28522
     218 Loop 314652      5.98438     1.46658     2.04810     4.28522
     219 Loop 315462      6.86841     1.27781     2.04810     4.28522
     220 Loop 316452      8.58862     1.02188     2.04810     4.28522
     221 Loop 315642      8.47656     1.03539     2.04810     4.28522
     222 Loop 316542      8.55273     1.02617     2.04810     4.28522
     223 Loop 413562     20.40112     0.43020     2.04810     4.28522
     224 Loop 413652     18.83716     0.46592     2.04810     4.28522
     225 Loop 513462      8.11646     1.08133     2.04810     4.28522
     226 Loop 613452      9.30859     0.94284     2.04810     4.28522
     227 Loop 513642      9.96875     0.88041     2.04810     4.28522
     228 Loop 613542      9.33276     0.94040     2.04810     4.28522
     229 Loop 415362     20.76929     0.42257     2.04810     4.28522
     230 Loop 416352     23.34131     0.37601     2.04810     4.28522
     231 Loop 514362     20.68140     0.42437     2.04810     4.28522
     232 Loop 614352     10.47656     0.83773     2.04810     4.28522
     233 Loop 516342     10.76074     0.81561     2.04810     4.28522
     234 Loop 615342      9.38062     0.93560     2.04810     4.28522
     235 Loop 415632     27.01758     0.32485     2.04810     4.28522
