 TESTING TRANSACCU TYPE 365241
 Hirata Reference =    8.556536     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456     22.32539     0.38326    22.32539     0.38326
       2 Loop 123465     22.30140     0.38368    22.30140     0.38368
       3 Loop 123546     20.45328     0.41835    20.45328     0.41835
       4 Loop 123645     19.35321     0.44212    19.35321     0.44212
       5 Loop 123564     14.62092     0.58523    14.62092     0.58523
       6 Loop 123654     14.03687     0.60958    14.03687     0.60958
       7 Loop 124356     20.90530     0.40930    14.03687     0.60958
       8 Loop 124365     21.94937     0.38983    14.03687     0.60958
       9 Loop 125346     21.65735     0.39509    14.03687     0.60958
      10 Loop 126345     25.00156     0.34224    14.03687     0.60958
      11 Loop 125364     15.43697     0.55429    14.03687     0.60958
      12 Loop 126354     18.33716     0.46662    14.03687     0.60958
      13 Loop 124536     23.90149     0.35799    14.03687     0.60958
      14 Loop 124635     23.09744     0.37045    14.03687     0.60958
      15 Loop 125436     22.95743     0.37271    14.03687     0.60958
      16 Loop 126435     29.74985     0.28762    14.03687     0.60958
      17 Loop 125634     18.31317     0.46723    14.03687     0.60958
      18 Loop 126534     16.99307     0.50353    14.03687     0.60958
      19 Loop 124563     24.74954     0.34572    14.03687     0.60958
      20 Loop 124653     23.50546     0.36402    14.03687     0.60958
      21 Loop 125463     23.97351     0.35692    14.03687     0.60958
      22 Loop 126453     31.05396     0.27554    14.03687     0.60958
      23 Loop 125643     30.10590     0.28421    14.03687     0.60958
      24 Loop 126543     30.62592     0.27939    14.03687     0.60958
      25 Loop 132456     21.34131     0.40094    14.03687     0.60958
      26 Loop 132465     23.76953     0.35998    14.03687     0.60958
      27 Loop 132546     19.42920     0.44040    14.03687     0.60958
      28 Loop 132645     19.02124     0.44984    14.03687     0.60958
      29 Loop 132564     14.16089     0.60424    14.03687     0.60958
      30 Loop 132654     14.38092     0.59499    14.03687     0.60958
      31 Loop 142356     21.91339     0.39047    14.03687     0.60958
      32 Loop 142365     21.76538     0.39313    14.03687     0.60958
      33 Loop 152346     21.50934     0.39781    14.03687     0.60958
      34 Loop 162345     24.17346     0.35396    14.03687     0.60958
      35 Loop 152364     14.07288     0.60802    14.03687     0.60958
      36 Loop 162354     17.41309     0.49139    14.03687     0.60958
      37 Loop 142536     22.61340     0.37838    14.03687     0.60958
      38 Loop 142635     22.70941     0.37678    14.03687     0.60958
      39 Loop 152436     22.91748     0.37336    14.03687     0.60958
      40 Loop 162435     29.43384     0.29070    14.03687     0.60958
      41 Loop 152634     16.91309     0.50591    14.03687     0.60958
      42 Loop 162534     17.95715     0.47650    14.03687     0.60958
      43 Loop 142563     24.19354     0.35367    14.03687     0.60958
      44 Loop 142653     23.98547     0.35674    14.03687     0.60958
      45 Loop 152463     25.01758     0.34202    14.03687     0.60958
      46 Loop 162453     32.33801     0.26460    14.03687     0.60958
      47 Loop 152643     30.18195     0.28350    14.03687     0.60958
      48 Loop 162543     30.50586     0.28049    14.03687     0.60958
      49 Loop 134256     21.52136     0.39758    14.03687     0.60958
      50 Loop 134265     23.17346     0.36924    14.03687     0.60958
      51 Loop 135246     20.81335     0.41111    14.03687     0.60958
      52 Loop 136245     22.47339     0.38074    14.03687     0.60958
      53 Loop 135264     14.70496     0.58188    14.03687     0.60958
      54 Loop 136254     15.65295     0.54664    14.03687     0.60958
      55 Loop 143256     21.66138     0.39501    14.03687     0.60958
      56 Loop 143265     23.28149     0.36753    14.03687     0.60958
      57 Loop 153246     21.27332     0.40222    14.03687     0.60958
      58 Loop 163245     23.98950     0.35668    14.03687     0.60958
      59 Loop 153264     14.75696     0.57983    14.03687     0.60958
      60 Loop 163254     18.32910     0.46683    14.03687     0.60958
      61 Loop 145236     22.61340     0.37838    14.03687     0.60958
      62 Loop 146235     29.63794     0.28870    14.03687     0.60958
      63 Loop 154236     23.20544     0.36873    14.03687     0.60958
      64 Loop 164235     30.67395     0.27895    14.03687     0.60958
      65 Loop 156234     18.22119     0.46959    14.03687     0.60958
      66 Loop 165234     18.28113     0.46805    14.03687     0.60958
