 TESTING TRANSACCU TYPE 365214
 Hirata Reference =    9.200575     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      7.72048     1.19171     7.72048     1.19171
       2 Loop 123465      7.33646     1.25409     7.33646     1.25409
       3 Loop 123546      7.72448     1.19109     7.33646     1.25409
       4 Loop 123645      7.17645     1.28205     7.17645     1.28205
       5 Loop 123564      4.30027     2.13953     4.30027     2.13953
       6 Loop 123654      4.20026     2.19048     4.20026     2.19048
       7 Loop 124356     20.42527     0.45045     4.20026     2.19048
       8 Loop 124365     20.89330     0.44036     4.20026     2.19048
       9 Loop 125346      7.72849     1.19048     4.20026     2.19048
      10 Loop 126345      7.54047     1.22016     4.20026     2.19048
      11 Loop 125364      4.41628     2.08333     4.20026     2.19048
      12 Loop 126354      4.74030     1.94093     4.20026     2.19048
      13 Loop 124536     21.10931     0.43585     4.20026     2.19048
      14 Loop 124635     20.73329     0.44376     4.20026     2.19048
      15 Loop 125436      7.82849     1.17527     4.20026     2.19048
      16 Loop 126435      7.51247     1.22471     4.20026     2.19048
      17 Loop 125634      4.54430     2.02464     4.20026     2.19048
      18 Loop 126534      4.79230     1.91987     4.20026     2.19048
      19 Loop 124563     21.63335     0.42530     4.20026     2.19048
      20 Loop 124653     21.14532     0.43511     4.20026     2.19048
      21 Loop 125463      9.48460     0.97005     4.20026     2.19048
      22 Loop 126453      9.60060     0.95833     4.20026     2.19048
      23 Loop 125643      9.74861     0.94378     4.20026     2.19048
      24 Loop 126543      9.83261     0.93572     4.20026     2.19048
      25 Loop 132456      7.66046     1.20105     4.20026     2.19048
      26 Loop 132465      7.35248     1.25136     4.20026     2.19048
      27 Loop 132546      7.80450     1.17888     4.20026     2.19048
      28 Loop 132645      7.25244     1.26862     4.20026     2.19048
      29 Loop 132564      4.18427     2.19885     4.18427     2.19885
      30 Loop 132654      4.23627     2.17186     4.18427     2.19885
      31 Loop 142356     20.58929     0.44686     4.18427     2.19885
      32 Loop 142365     21.02533     0.43759     4.18427     2.19885
      33 Loop 152346      8.08853     1.13748     4.18427     2.19885
      34 Loop 162345      9.83261     0.93572     4.18427     2.19885
      35 Loop 152364      4.72031     1.94915     4.18427     2.19885
      36 Loop 162354      8.00049     1.15000     4.18427     2.19885
      37 Loop 142536     21.38535     0.43023     4.18427     2.19885
      38 Loop 142635     20.86932     0.44087     4.18427     2.19885
      39 Loop 152436      8.08051     1.13861     4.18427     2.19885
      40 Loop 162435     10.07663     0.91306     4.18427     2.19885
      41 Loop 152634      4.88031     1.88524     4.18427     2.19885
      42 Loop 162534      8.07251     1.13974     4.18427     2.19885
      43 Loop 142563     22.56540     0.40773     4.18427     2.19885
      44 Loop 142653     21.97739     0.41864     4.18427     2.19885
      45 Loop 152463     10.09665     0.91125     4.18427     2.19885
