 TESTING TRANPOSE TYPE 326541
 Hirata Reference =    2.556160     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      5.92437     0.43147     5.92437     0.43147
       2 Loop 123465      5.87637     0.43499     5.87637     0.43499
       3 Loop 123546      6.45240     0.39616     5.87637     0.43499
       4 Loop 123645      5.96037     0.42886     5.87637     0.43499
       5 Loop 123564      6.52041     0.39202     5.87637     0.43499
       6 Loop 123654      6.69642     0.38172     5.87637     0.43499
       7 Loop 124356      5.71636     0.44717     5.71636     0.44717
       8 Loop 124365      5.92037     0.43176     5.71636     0.44717
       9 Loop 125346      6.48841     0.39396     5.71636     0.44717
      10 Loop 126345      6.09638     0.41929     5.71636     0.44717
      11 Loop 125364      6.85643     0.37281     5.71636     0.44717
      12 Loop 126354      6.66441     0.38355     5.71636     0.44717
      13 Loop 124536      5.89236     0.43381     5.71636     0.44717
      14 Loop 124635      6.14838     0.41574     5.71636     0.44717
      15 Loop 125436      5.78836     0.44160     5.71636     0.44717
      16 Loop 126435      5.75636     0.44406     5.71636     0.44717
      17 Loop 125634      7.05644     0.36224     5.71636     0.44717
      18 Loop 126534      6.76042     0.37811     5.71636     0.44717
      19 Loop 124563      6.24039     0.40962     5.71636     0.44717
      20 Loop 124653      6.39241     0.39987     5.71636     0.44717
      21 Loop 125463      6.22040     0.41093     5.71636     0.44717
      22 Loop 126453      6.46840     0.39518     5.71636     0.44717
      23 Loop 125643      6.84842     0.37325     5.71636     0.44717
      24 Loop 126543      6.26839     0.40779     5.71636     0.44717
      25 Loop 132456      6.11238     0.41819     5.71636     0.44717
      26 Loop 132465      5.95638     0.42915     5.71636     0.44717
      27 Loop 132546      6.65242     0.38425     5.71636     0.44717
      28 Loop 132645      6.03638     0.42346     5.71636     0.44717
      29 Loop 132564      7.06044     0.36204     5.71636     0.44717
      30 Loop 132654      6.83644     0.37390     5.71636     0.44717
      31 Loop 142356      5.95238     0.42944     5.71636     0.44717
      32 Loop 142365      6.04839     0.42262     5.71636     0.44717
      33 Loop 152346      7.55647     0.33827     5.71636     0.44717
      34 Loop 162345      8.20450     0.31156     5.71636     0.44717
      35 Loop 152364      7.48047     0.34171     5.71636     0.44717
      36 Loop 162354      8.48453     0.30127     5.71636     0.44717
      37 Loop 142536      5.81638     0.43948     5.71636     0.44717
      38 Loop 142635      5.98438     0.42714     5.71636     0.44717
      39 Loop 152436      6.37640     0.40088     5.71636     0.44717
      40 Loop 162435      7.77249     0.32887     5.71636     0.44717
      41 Loop 152634      7.32047     0.34918     5.71636     0.44717
      42 Loop 162534      8.56052     0.29860     5.71636     0.44717
      43 Loop 142563      5.93637     0.43059     5.71636     0.44717
      44 Loop 142653      6.14438     0.41602     5.71636     0.44717
      45 Loop 152463      6.33240     0.40366     5.71636     0.44717
      46 Loop 162453      7.90048     0.32354     5.71636     0.44717
      47 Loop 152643      6.80045     0.37588     5.71636     0.44717
      48 Loop 162543      8.12451     0.31462     5.71636     0.44717
      49 Loop 134256      5.98038     0.42742     5.71636     0.44717
      50 Loop 134265      6.13638     0.41656     5.71636     0.44717
      51 Loop 135246      6.66440     0.38355     5.71636     0.44717
      52 Loop 136245      5.96036     0.42886     5.71636     0.44717
      53 Loop 135264      6.87643     0.37173     5.71636     0.44717
      54 Loop 136254      6.70041     0.38149     5.71636     0.44717
      55 Loop 143256      6.09637     0.41929     5.71636     0.44717
      56 Loop 143265      6.11237     0.41819     5.71636     0.44717
      57 Loop 153246      7.22845     0.35362     5.71636     0.44717
      58 Loop 163245      7.82047     0.32686     5.71636     0.44717
      59 Loop 153264      7.72049     0.33109     5.71636     0.44717
      60 Loop 163254      8.57254     0.29818     5.71636     0.44717
      61 Loop 145236      6.10837     0.41847     5.71636     0.44717
      62 Loop 146235      6.40439     0.39913     5.71636     0.44717
      63 Loop 154236      6.88846     0.37108     5.71636     0.44717
      64 Loop 164235      7.99249     0.31982     5.71636     0.44717
      65 Loop 156234      7.63647     0.33473     5.71636     0.44717
      66 Loop 165234      9.02457     0.28324     5.71636     0.44717
      67 Loop 145263      6.33640     0.40341     5.71636     0.44717
      68 Loop 146253      6.40442     0.39912     5.71636     0.44717
      69 Loop 154263      6.52441     0.39178     5.71636     0.44717
      70 Loop 164253      8.03250     0.31823     5.71636     0.44717
      71 Loop 156243      6.35638     0.40214     5.71636     0.44717
      72 Loop 165243      8.20453     0.31155     5.71636     0.44717
      73 Loop 134526      5.97638     0.42771     5.71636     0.44717
      74 Loop 134625      5.84839     0.43707     5.71636     0.44717
      75 Loop 135426      5.96436     0.42857     5.71636     0.44717
      76 Loop 136425      5.87234     0.43529     5.71636     0.44717
      77 Loop 135624      7.06445     0.36183     5.71636     0.44717
      78 Loop 136524      6.86444     0.37238     5.71636     0.44717
      79 Loop 143526      5.99237     0.42657     5.71636     0.44717
      80 Loop 143625      6.07239     0.42095     5.71636     0.44717
      81 Loop 153426      6.70447     0.38126     5.71636     0.44717
      82 Loop 163425      7.81647     0.32702     5.71636     0.44717
      83 Loop 153624      7.35651     0.34747     5.71636     0.44717
      84 Loop 163524      8.42053     0.30356     5.71636     0.44717
      85 Loop 145326      5.92438     0.43146     5.71636     0.44717
      86 Loop 146325      6.14038     0.41629     5.71636     0.44717
      87 Loop 154326      6.43640     0.39714     5.71636     0.44717
      88 Loop 164325      7.98450     0.32014     5.71636     0.44717
      89 Loop 156324      7.32843     0.34880     5.71636     0.44717
      90 Loop 165324      9.05255     0.28237     5.71636     0.44717
      91 Loop 145623      6.20441     0.41199     5.71636     0.44717
      92 Loop 146523      6.41644     0.39838     5.71636     0.44717
      93 Loop 154623      6.56842     0.38916     5.71636     0.44717
      94 Loop 164523      8.20856     0.31140     5.71636     0.44717
      95 Loop 156423      6.52441     0.39178     5.71636     0.44717
      96 Loop 165423      8.27252     0.30899     5.71636     0.44717
      97 Loop 134562      6.44037     0.39690     5.71636     0.44717
      98 Loop 134652      6.16040     0.41493     5.71636     0.44717
      99 Loop 135462      6.02039     0.42458     5.71636     0.44717
     100 Loop 136452      6.21234     0.41146     5.71636     0.44717
     101 Loop 135642      6.46442     0.39542     5.71636     0.44717
     102 Loop 136542      6.34839     0.40265     5.71636     0.44717
     103 Loop 143562      6.08435     0.42012     5.71636     0.44717
     104 Loop 143652      6.07239     0.42095     5.71636     0.44717
     105 Loop 153462      6.26038     0.40831     5.71636     0.44717
     106 Loop 163452      7.83252     0.32635     5.71636     0.44717
     107 Loop 153642      6.62445     0.38587     5.71636     0.44717
     108 Loop 163542      7.92450     0.32256     5.71636     0.44717
     109 Loop 145362      6.15240     0.41547     5.71636     0.44717
     110 Loop 146352      6.31635     0.40469     5.71636     0.44717
     111 Loop 154362      6.40039     0.39938     5.71636     0.44717
     112 Loop 164352      8.08051     0.31634     5.71636     0.44717
     113 Loop 156342      6.47241     0.39493     5.71636     0.44717
     114 Loop 165342      8.08850     0.31602     5.71636     0.44717
     115 Loop 145632      6.05640     0.42206     5.71636     0.44717
     116 Loop 146532      6.02435     0.42430     5.71636     0.44717
     117 Loop 154632      6.08435     0.42012     5.71636     0.44717
     118 Loop 164532      7.84851     0.32569     5.71636     0.44717
     119 Loop 156432      6.06433     0.42151     5.71636     0.44717
     120 Loop 165432      7.89648     0.32371     5.71636     0.44717
     121 Loop 213456      1.64410     1.55474     1.64410     1.55474
     122 Loop 213465      1.72412     1.48259     1.64410     1.55474
     123 Loop 213546      1.65613     1.54346     1.64410     1.55474
     124 Loop 213645      1.94812     1.31212     1.64410     1.55474
     125 Loop 213564      2.00812     1.27291     1.64410     1.55474
     126 Loop 213654      2.14014     1.19439     1.64410     1.55474
     127 Loop 214356      1.62408     1.57391     1.62408     1.57391
     128 Loop 214365      2.10413     1.21483     1.62408     1.57391
     129 Loop 215346      1.68408     1.51784     1.62408     1.57391
