 TESTING TRANPOSE TYPE 326154
 Hirata Reference =    2.644164     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      1.10407     2.39492     1.10407     2.39492
       2 Loop 123465      1.44809     1.82597     1.10407     2.39492
       3 Loop 123546      1.14007     2.31930     1.10407     2.39492
       4 Loop 123645      1.46809     1.80109     1.10407     2.39492
       5 Loop 123564      1.07607     2.45725     1.07607     2.45725
       6 Loop 123654      1.18407     2.23311     1.07607     2.45725
       7 Loop 124356      1.40009     1.88857     1.07607     2.45725
       8 Loop 124365      1.73211     1.52656     1.07607     2.45725
       9 Loop 125346      1.08407     2.43912     1.07607     2.45725
      10 Loop 126345      1.42409     1.85674     1.07607     2.45725
      11 Loop 125364      1.19208     2.21812     1.07607     2.45725
      12 Loop 126354      1.17207     2.25597     1.07607     2.45725
      13 Loop 124536      1.36408     1.93842     1.07607     2.45725
      14 Loop 124635      1.69211     1.56265     1.07607     2.45725
      15 Loop 125436      1.44009     1.83611     1.07607     2.45725
      16 Loop 126435      1.88012     1.40638     1.07607     2.45725
      17 Loop 125634      0.94806     2.78903     0.94806     2.78903
      18 Loop 126534      1.12007     2.36071     0.94806     2.78903
      19 Loop 124563      1.59210     1.66080     0.94806     2.78903
      20 Loop 124653      1.59610     1.65664     0.94806     2.78903
      21 Loop 125463      1.68811     1.56635     0.94806     2.78903
      22 Loop 126453      1.76411     1.49887     0.94806     2.78903
      23 Loop 125643      1.47609     1.79133     0.94806     2.78903
      24 Loop 126543      1.78811     1.47875     0.94806     2.78903
      25 Loop 132456      0.98006     2.69796     0.94806     2.78903
      26 Loop 132465      1.32008     2.00303     0.94806     2.78903
      27 Loop 132546      1.13607     2.32747     0.94806     2.78903
      28 Loop 132645      1.31208     2.01525     0.94806     2.78903
      29 Loop 132564      1.16407     2.27147     0.94806     2.78903
      30 Loop 132654      1.13607     2.32747     0.94806     2.78903
      31 Loop 142356      2.05613     1.28599     0.94806     2.78903
      32 Loop 142365      2.78017     0.95108     0.94806     2.78903
      33 Loop 152346      1.36808     1.93275     0.94806     2.78903
      34 Loop 162345      2.45615     1.07655     0.94806     2.78903
      35 Loop 152364      1.18407     2.23311     0.94806     2.78903
      36 Loop 162354      2.06013     1.28350     0.94806     2.78903
      37 Loop 142536      1.51210     1.74867     0.94806     2.78903
      38 Loop 142635      2.80817     0.94160     0.94806     2.78903
      39 Loop 152436      1.52410     1.73490     0.94806     2.78903
      40 Loop 162435      2.70817     0.97637     0.94806     2.78903
      41 Loop 152634      1.04807     2.52290     0.94806     2.78903
      42 Loop 162534      2.15614     1.22634     0.94806     2.78903
      43 Loop 142563      1.91212     1.38284     0.94806     2.78903
      44 Loop 142653      1.99612     1.32465     0.94806     2.78903
      45 Loop 152463      1.57610     1.67766     0.94806     2.78903
      46 Loop 162453      2.71217     0.97493     0.94806     2.78903
      47 Loop 152643      1.56810     1.68622     0.94806     2.78903
      48 Loop 162543      2.66417     0.99249     0.94806     2.78903
      49 Loop 134256      1.24007     2.13226     0.94806     2.78903
      50 Loop 134265      1.67611     1.57756     0.94806     2.78903
      51 Loop 135246      1.09607     2.41241     0.94806     2.78903
      52 Loop 136245      1.43609     1.84123     0.94806     2.78903
      53 Loop 135264      1.10407     2.39492     0.94806     2.78903
      54 Loop 136254      1.23608     2.13916     0.94806     2.78903
      55 Loop 143256      1.94012     1.36289     0.94806     2.78903
      56 Loop 143265      2.79217     0.94699     0.94806     2.78903
      57 Loop 153246      1.43609     1.84123     0.94806     2.78903
      58 Loop 163245      2.38415     1.10906     0.94806     2.78903
      59 Loop 153264      1.14008     2.31929     0.94806     2.78903
      60 Loop 163254      2.15214     1.22862     0.94806     2.78903
      61 Loop 145236      2.14014     1.23551     0.94806     2.78903
      62 Loop 146235      3.08419     0.85733     0.94806     2.78903
      63 Loop 154236      1.87611     1.40938     0.94806     2.78903
      64 Loop 164235      3.31621     0.79735     0.94806     2.78903
      65 Loop 156234      1.30808     2.02140     0.94806     2.78903
      66 Loop 165234      2.33615     1.13185     0.94806     2.78903
      67 Loop 145263      2.40415     1.09983     0.94806     2.78903
      68 Loop 146253      2.36414     1.11844     0.94806     2.78903
      69 Loop 154263      2.18814     1.20841     0.94806     2.78903
      70 Loop 164253      3.00819     0.87899     0.94806     2.78903
      71 Loop 156243      1.78812     1.47874     0.94806     2.78903
      72 Loop 165243      2.88419     0.91678     0.94806     2.78903
      73 Loop 134526      1.50409     1.75798     0.94806     2.78903
      74 Loop 134625      2.00813     1.31673     0.94806     2.78903
      75 Loop 135426      1.48410     1.78166     0.94806     2.78903
      76 Loop 136425      1.75212     1.50912     0.94806     2.78903
      77 Loop 135624      1.12007     2.36071     0.94806     2.78903
      78 Loop 136524      1.24008     2.13225     0.94806     2.78903
      79 Loop 143526      1.82413     1.44955     0.94806     2.78903
      80 Loop 143625      2.83218     0.93361     0.94806     2.78903
      81 Loop 153426      1.69211     1.56264     0.94806     2.78903
      82 Loop 163425      2.82817     0.93494     0.94806     2.78903
      83 Loop 153624      1.01205     2.61267     0.94806     2.78903
      84 Loop 163524      2.18013     1.21285     0.94806     2.78903
      85 Loop 145326      1.99612     1.32465     0.94806     2.78903
      86 Loop 146325      3.27621     0.80708     0.94806     2.78903
      87 Loop 154326      1.88013     1.40638     0.94806     2.78903
      88 Loop 164325      3.38821     0.78040     0.94806     2.78903
      89 Loop 156324      1.26407     2.09179     0.94806     2.78903
      90 Loop 165324      2.40816     1.09800     0.94806     2.78903
      91 Loop 145623      2.70418     0.97781     0.94806     2.78903
      92 Loop 146523      2.62418     1.00762     0.94806     2.78903
      93 Loop 154623      2.61617     1.01070     0.94806     2.78903
      94 Loop 164523      3.38020     0.78225     0.94806     2.78903
      95 Loop 156423      2.18013     1.21285     0.94806     2.78903
      96 Loop 165423      3.23621     0.81706     0.94806     2.78903
      97 Loop 134562      1.79211     1.47544     0.94806     2.78903
      98 Loop 134652      1.62010     1.63210     0.94806     2.78903
      99 Loop 135462      1.74811     1.51259     0.94806     2.78903
     100 Loop 136452      1.55209     1.70361     0.94806     2.78903
     101 Loop 135642      1.28407     2.05920     0.94806     2.78903
     102 Loop 136542      1.45209     1.82094     0.94806     2.78903
     103 Loop 143562      2.08812     1.26629     0.94806     2.78903
     104 Loop 143652      2.05212     1.28850     0.94806     2.78903
     105 Loop 153462      1.80011     1.46889     0.94806     2.78903
     106 Loop 163452      2.53616     1.04258     0.94806     2.78903
     107 Loop 153642      1.25208     2.11183     0.94806     2.78903
     108 Loop 163542      2.51215     1.05255     0.94806     2.78903
     109 Loop 145362      2.34015     1.12991     0.94806     2.78903
     110 Loop 146352      2.33615     1.13185     0.94806     2.78903
     111 Loop 154362      2.04013     1.29608     0.94806     2.78903
     112 Loop 164352      2.79619     0.94563     0.94806     2.78903
     113 Loop 156342      1.64410     1.60827     0.94806     2.78903
     114 Loop 165342      2.66415     0.99250     0.94806     2.78903
     115 Loop 145632      2.77217     0.95382     0.94806     2.78903
     116 Loop 146532      2.62016     1.00916     0.94806     2.78903
     117 Loop 154632      2.62416     1.00762     0.94806     2.78903
     118 Loop 164532      3.16020     0.83671     0.94806     2.78903
     119 Loop 156432      2.22014     1.19099     0.94806     2.78903
     120 Loop 165432      3.06819     0.86180     0.94806     2.78903
     121 Loop 213456      0.99207     2.66531     0.94806     2.78903
     122 Loop 213465      1.31207     2.01526     0.94806     2.78903
     123 Loop 213546      0.98405     2.68701     0.94806     2.78903
     124 Loop 213645      1.24408     2.12540     0.94806     2.78903
     125 Loop 213564      1.06407     2.48495     0.94806     2.78903
     126 Loop 213654      1.04007     2.54230     0.94806     2.78903
     127 Loop 214356      1.32007     2.00305     0.94806     2.78903
     128 Loop 214365      1.59210     1.66080     0.94806     2.78903
     129 Loop 215346      1.11208     2.37768     0.94806     2.78903
     130 Loop 216345      1.43210     1.84636     0.94806     2.78903
     131 Loop 215364      1.10406     2.39494     0.94806     2.78903
     132 Loop 216354      1.00406     2.63348     0.94806     2.78903
     133 Loop 214536      1.27608     2.07210     0.94806     2.78903
     134 Loop 214635      1.61211     1.64019     0.94806     2.78903
     135 Loop 215436      1.36807     1.93277     0.94806     2.78903
     136 Loop 216435      1.76811     1.49547     0.94806     2.78903
     137 Loop 215634      0.89606     2.95089     0.89606     2.95089
     138 Loop 216534      1.08008     2.44812     0.89606     2.95089
     139 Loop 214563      1.55609     1.69923     0.89606     2.95089
     140 Loop 214653      1.52411     1.73489     0.89606     2.95089
     141 Loop 215463      1.46008     1.81097     0.89606     2.95089
     142 Loop 216453      1.68408     1.57009     0.89606     2.95089
     143 Loop 215643      1.49609     1.76738     0.89606     2.95089
     144 Loop 216543      1.70010     1.55530     0.89606     2.95089
     145 Loop 312456      1.10007     2.40364     0.89606     2.95089
     146 Loop 312465      1.22406     2.16016     0.89606     2.95089
     147 Loop 312546      1.06406     2.48498     0.89606     2.95089
     148 Loop 312645      1.14008     2.31929     0.89606     2.95089
     149 Loop 312564      1.08408     2.43909     0.89606     2.95089
     150 Loop 312654      0.98804     2.67618     0.89606     2.95089
     151 Loop 412356      6.90442     0.38297     0.89606     2.95089
     152 Loop 412365      7.27646     0.36339     0.89606     2.95089
     153 Loop 512346      2.39615     1.10351     0.89606     2.95089
     154 Loop 612345      3.56821     0.74103     0.89606     2.95089
     155 Loop 512364      1.52811     1.73035     0.89606     2.95089
     156 Loop 612354      3.39621     0.77856     0.89606     2.95089
     157 Loop 412536      6.35239     0.41625     0.89606     2.95089
     158 Loop 412635      7.30847     0.36179     0.89606     2.95089
     159 Loop 512436      2.28015     1.15964     0.89606     2.95089
     160 Loop 612435      3.76825     0.70170     0.89606     2.95089
