 TESTING TRANSACCU TYPE 326154
 Hirata Reference =    7.052441     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      5.65635     1.24682     5.65635     1.24682
       2 Loop 123465      2.90018     2.43172     2.90018     2.43172
       3 Loop 123546      5.11232     1.37950     2.90018     2.43172
       4 Loop 123645      2.62016     2.69160     2.62016     2.69160
       5 Loop 123564      2.36815     2.97804     2.36815     2.97804
       6 Loop 123654      2.40815     2.92857     2.36815     2.97804
       7 Loop 124356      5.57235     1.26561     2.36815     2.97804
       8 Loop 124365      3.09219     2.28072     2.36815     2.97804
       9 Loop 125346      5.47634     1.28780     2.36815     2.97804
      10 Loop 126345      3.04019     2.31974     2.36815     2.97804
      11 Loop 125364      2.54816     2.76766     2.36815     2.97804
      12 Loop 126354      2.79617     2.52218     2.36815     2.97804
      13 Loop 124536      6.67642     1.05632     2.36815     2.97804
      14 Loop 124635      3.74423     1.88355     2.36815     2.97804
      15 Loop 125436      6.42840     1.09708     2.36815     2.97804
      16 Loop 126435      3.76023     1.87553     2.36815     2.97804
      17 Loop 125634      2.79617     2.52218     2.36815     2.97804
      18 Loop 126534      2.84418     2.47961     2.36815     2.97804
      19 Loop 124563      9.31258     0.75730     2.36815     2.97804
      20 Loop 124653      9.18858     0.76752     2.36815     2.97804
      21 Loop 125463      9.69661     0.72731     2.36815     2.97804
      22 Loop 126453      9.27658     0.76024     2.36815     2.97804
      23 Loop 125643      9.69660     0.72731     2.36815     2.97804
      24 Loop 126543      9.64861     0.73093     2.36815     2.97804
      25 Loop 132456      5.85236     1.20506     2.36815     2.97804
      26 Loop 132465      2.96819     2.37601     2.36815     2.97804
      27 Loop 132546      5.27634     1.33662     2.36815     2.97804
      28 Loop 132645      2.65616     2.65513     2.36815     2.97804
      29 Loop 132564      2.42816     2.90444     2.36815     2.97804
      30 Loop 132654      2.41615     2.91887     2.36815     2.97804
      31 Loop 142356     19.91725     0.35409     2.36815     2.97804
      32 Loop 142365     14.48891     0.48675     2.36815     2.97804
      33 Loop 152346      7.69649     0.91632     2.36815     2.97804
      34 Loop 162345      6.19640     1.13815     2.36815     2.97804
      35 Loop 152364      4.92032     1.43333     2.36815     2.97804
      36 Loop 162354      7.37646     0.95607     2.36815     2.97804
      37 Loop 142536     21.53334     0.32751     2.36815     2.97804
      38 Loop 142635     14.63692     0.48183     2.36815     2.97804
      39 Loop 152436      7.80850     0.90317     2.36815     2.97804
      40 Loop 162435      6.96045     1.01322     2.36815     2.97804
      41 Loop 152634      5.02029     1.40479     2.36815     2.97804
      42 Loop 162534      7.07245     0.99717     2.36815     2.97804
      43 Loop 142563     22.94943     0.30730     2.36815     2.97804
      44 Loop 142653     20.43329     0.34514     2.36815     2.97804
      45 Loop 152463     10.45264     0.67470     2.36815     2.97804
