jeff@goldstone:~/code/spaghetty/trunk/python/archive/exe> transpose_632541.x
 TESTING TRANPOSE TYPE 632541
 Hirata Reference =    2.248140     seconds
 Algorithm         Jeff           Speedup          Best
     104 Loop 652143      3.81622     0.58910     3.04819     0.73753
     105 Loop 642513      3.71625     0.60495     3.04819     0.73753
     106 Loop 612543      4.66830     0.48158     3.04819     0.73753
     107 Loop 642153      4.08426     0.55044     3.04819     0.73753
     108 Loop 612453      4.66031     0.48240     3.04819     0.73753
     109 Loop 654213      3.86823     0.58118     3.04819     0.73753
     110 Loop 651243      3.93622     0.57114     3.04819     0.73753
     111 Loop 645213      4.05225     0.55479     3.04819     0.73753
     112 Loop 615243      4.91232     0.45765     3.04819     0.73753
     113 Loop 641253      4.04025     0.55644     3.04819     0.73753
     114 Loop 614253      4.81232     0.46716     3.04819     0.73753
     115 Loop 654123      4.16824     0.53935     3.04819     0.73753
     116 Loop 651423      4.29227     0.52377     3.04819     0.73753
     117 Loop 645123      4.11624     0.54616     3.04819     0.73753
     118 Loop 615423      5.06430     0.44392     3.04819     0.73753
     119 Loop 641523      4.22427     0.53220     3.04819     0.73753
     120 Loop 614523      5.65237     0.39773     3.04819     0.73753
     121 Loop 362541      1.27206     1.76732     1.27206     1.76732
     122 Loop 362514      1.95612     1.14929     1.27206     1.76732
     123 Loop 362451      1.19608     1.87960     1.19608     1.87960
     124 Loop 362154      1.57211     1.43001     1.19608     1.87960
     125 Loop 362415      1.47610     1.52302     1.19608     1.87960
     126 Loop 362145      1.49609     1.50267     1.19608     1.87960
     127 Loop 365241      1.38809     1.61959     1.19608     1.87960
     128 Loop 365214      1.80014     1.24887     1.19608     1.87960
     129 Loop 364251      1.24408     1.80707     1.19608     1.87960
     130 Loop 361254      1.90411     1.18068     1.19608     1.87960
     131 Loop 364215      1.61612     1.39107     1.19608     1.87960
     132 Loop 361245      1.79211     1.25446     1.19608     1.87960
     133 Loop 365421      1.44809     1.55249     1.19608     1.87960
     134 Loop 365124      1.87613     1.19829     1.19608     1.87960
     135 Loop 364521      1.36810     1.64325     1.19608     1.87960
     136 Loop 361524      2.16013     1.04075     1.19608     1.87960
     137 Loop 364125      1.80411     1.24612     1.19608     1.87960
     138 Loop 361425      1.92813     1.16597     1.19608     1.87960
     139 Loop 365412      1.75211     1.28311     1.19608     1.87960
     140 Loop 365142      1.92014     1.17082     1.19608     1.87960
     141 Loop 364512      1.71213     1.31307     1.19608     1.87960
     142 Loop 361542      2.10016     1.07046     1.19608     1.87960
     143 Loop 364152      1.80011     1.24889     1.19608     1.87960
     144 Loop 361452      2.04010     1.10198     1.19608     1.87960
     145 Loop 263541      1.38806     1.61963     1.19608     1.87960
     146 Loop 263514      1.80811     1.24337     1.19608     1.87960
     147 Loop 263451      1.18005     1.90512     1.18005     1.90512
     148 Loop 263154      1.74811     1.28604     1.18005     1.90512
     149 Loop 263415      1.65210     1.36078     1.18005     1.90512
     150 Loop 263145      1.48407     1.51485     1.18005     1.90512
     151 Loop 563241      1.83612     1.22440     1.18005     1.90512
     152 Loop 563214      2.30817     0.97399     1.18005     1.90512
     153 Loop 463251      2.27612     0.98771     1.18005     1.90512
     154 Loop 163254      7.70050     0.29195     1.18005     1.90512
     155 Loop 463215      2.07617     1.08283     1.18005     1.90512
     156 Loop 163245      6.60846     0.34019     1.18005     1.90512
