 TESTING TRANPOSE TYPE 362154
 Hirata Reference =    2.360147     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      0.98406     2.39837     0.98406     2.39837
       2 Loop 123465      1.25208     1.88498     0.98406     2.39837
       3 Loop 123546      1.08807     2.16912     0.98406     2.39837
       4 Loop 123645      1.32408     1.78248     0.98406     2.39837
       5 Loop 123564      1.00806     2.34127     0.98406     2.39837
       6 Loop 123654      1.15207     2.04861     0.98406     2.39837
       7 Loop 124356      1.31208     1.79878     0.98406     2.39837
       8 Loop 124365      1.68010     1.40476     0.98406     2.39837
       9 Loop 125346      1.11207     2.12230     0.98406     2.39837
      10 Loop 126345      1.48009     1.59459     0.98406     2.39837
      11 Loop 125364      1.12807     2.09220     0.98406     2.39837
      12 Loop 126354      1.14807     2.05575     0.98406     2.39837
      13 Loop 124536      1.34808     1.75074     0.98406     2.39837
      14 Loop 124635      1.77211     1.33183     0.98406     2.39837
      15 Loop 125436      1.40409     1.68091     0.98406     2.39837
      16 Loop 126435      1.75211     1.34703     0.98406     2.39837
      17 Loop 125634      1.06407     2.21805     0.98406     2.39837
      18 Loop 126534      0.98406     2.39837     0.98406     2.39837
      19 Loop 124563      1.56010     1.51282     0.98406     2.39837
      20 Loop 124653      1.75611     1.34396     0.98406     2.39837
      21 Loop 125463      1.51210     1.56084     0.98406     2.39837
      22 Loop 126453      1.77611     1.32883     0.98406     2.39837
      23 Loop 125643      1.56410     1.50895     0.98406     2.39837
      24 Loop 126543      1.66410     1.41827     0.98406     2.39837
      25 Loop 132456      1.00806     2.34127     0.98406     2.39837
      26 Loop 132465      1.36409     1.73020     0.98406     2.39837
      27 Loop 132546      1.05606     2.23485     0.98406     2.39837
      28 Loop 132645      1.35209     1.74556     0.98406     2.39837
      29 Loop 132564      1.01206     2.33202     0.98406     2.39837
      30 Loop 132654      1.04407     2.26053     0.98406     2.39837
      31 Loop 142356      2.06813     1.14120     0.98406     2.39837
      32 Loop 142365      2.72417     0.86637     0.98406     2.39837
      33 Loop 152346      1.50409     1.56915     0.98406     2.39837
      34 Loop 162345      3.16820     0.74495     0.98406     2.39837
      35 Loop 152364      1.05207     2.24334     0.98406     2.39837
      36 Loop 162354      2.72417     0.86637     0.98406     2.39837
      37 Loop 142536      1.46409     1.61202     0.98406     2.39837
      38 Loop 142635      2.67216     0.88323     0.98406     2.39837
      39 Loop 152436      1.73211     1.36259     0.98406     2.39837
      40 Loop 162435      3.51222     0.67198     0.98406     2.39837
      41 Loop 152634      0.97606     2.41804     0.97606     2.41804
      42 Loop 162534      2.61617     0.90214     0.97606     2.41804
      43 Loop 142563      1.90412     1.23949     0.97606     2.41804
      44 Loop 142653      2.16814     1.08856     0.97606     2.41804
      45 Loop 152463      1.58009     1.49368     0.97606     2.41804
      46 Loop 162453      3.47221     0.67972     0.97606     2.41804
      47 Loop 152643      1.66010     1.42169     0.97606     2.41804
      48 Loop 162543      3.57623     0.65995     0.97606     2.41804
      49 Loop 134256      1.39209     1.69540     0.97606     2.41804
      50 Loop 134265      1.78411     1.32287     0.97606     2.41804
      51 Loop 135246      0.98807     2.38865     0.97606     2.41804
      52 Loop 136245      1.42410     1.65730     0.97606     2.41804
      53 Loop 135264      1.14407     2.06293     0.97606     2.41804
      54 Loop 136254      1.12407     2.09965     0.97606     2.41804
      55 Loop 143256      1.91611     1.23174     0.97606     2.41804
      56 Loop 143265      2.60416     0.90630     0.97606     2.41804
      57 Loop 153246      1.46410     1.61202     0.97606     2.41804
      58 Loop 163245      3.12820     0.75448     0.97606     2.41804
      59 Loop 153264      1.12407     2.09965     0.97606     2.41804
      60 Loop 163254      2.62417     0.89939     0.97606     2.41804
