 TESTING TRANSACCU TYPE 365421
 Hirata Reference =    9.112570     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456     21.17332     0.43038    21.17332     0.43038
       2 Loop 123465     22.95743     0.39693    21.17332     0.43038
       3 Loop 123546     19.46122     0.46824    19.46122     0.46824
       4 Loop 123645     18.85718     0.48324    18.85718     0.48324
       5 Loop 123564     17.62511     0.51702    17.62511     0.51702
       6 Loop 123654     17.02107     0.53537    17.02107     0.53537
       7 Loop 124356     21.70135     0.41991    17.02107     0.53537
       8 Loop 124365     22.65741     0.40219    17.02107     0.53537
       9 Loop 125346     21.54935     0.42287    17.02107     0.53537
      10 Loop 126345     24.50554     0.37186    17.02107     0.53537
      11 Loop 125364     18.38914     0.49554    17.02107     0.53537
      12 Loop 126354     23.44946     0.38860    17.02107     0.53537
      13 Loop 124536     23.68948     0.38467    17.02107     0.53537
      14 Loop 124635     22.71741     0.40113    17.02107     0.53537
      15 Loop 125436     21.81339     0.41775    17.02107     0.53537
      16 Loop 126435     29.56583     0.30821    17.02107     0.53537
      17 Loop 125634     21.24933     0.42884    17.02107     0.53537
      18 Loop 126534     21.84137     0.41722    17.02107     0.53537
      19 Loop 124563     24.00549     0.37960    17.02107     0.53537
      20 Loop 124653     23.10544     0.39439    17.02107     0.53537
      21 Loop 125463     23.82150     0.38254    17.02107     0.53537
      22 Loop 126453     31.56198     0.28872    17.02107     0.53537
      23 Loop 125643     29.78983     0.30590    17.02107     0.53537
      24 Loop 126543     30.01788     0.30357    17.02107     0.53537
      25 Loop 132456     21.51337     0.42358    17.02107     0.53537
      26 Loop 132465     22.75745     0.40042    17.02107     0.53537
      27 Loop 132546     18.36115     0.49630    17.02107     0.53537
      28 Loop 132645     18.72119     0.48675    17.02107     0.53537
      29 Loop 132564     17.99310     0.50645    17.02107     0.53537
      30 Loop 132654     17.68115     0.51538    17.02107     0.53537
      31 Loop 142356     21.80536     0.41791    17.02107     0.53537
      32 Loop 142365     23.19348     0.39289    17.02107     0.53537
