 TESTING TRANSACCU TYPE 362154
 Hirata Reference =    7.604475     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      6.01237     1.26480     6.01237     1.26480
       2 Loop 123465      2.88018     2.64028     2.88018     2.64028
       3 Loop 123546      5.96437     1.27498     2.88018     2.64028
       4 Loop 123645      2.46015     3.09106     2.46015     3.09106
       5 Loop 123564      2.23614     3.40071     2.23614     3.40071
       6 Loop 123654      2.26414     3.35866     2.23614     3.40071
       7 Loop 124356      6.31639     1.20393     2.23614     3.40071
       8 Loop 124365      3.04819     2.49475     2.23614     3.40071
       9 Loop 125346      5.91237     1.28620     2.23614     3.40071
      10 Loop 126345      3.10019     2.45290     2.23614     3.40071
      11 Loop 125364      2.44815     3.10621     2.23614     3.40071
      12 Loop 126354      3.00019     2.53467     2.23614     3.40071
      13 Loop 124536      6.88443     1.10459     2.23614     3.40071
      14 Loop 124635      3.53222     2.15289     2.23614     3.40071
      15 Loop 125436      6.73241     1.12953     2.23614     3.40071
      16 Loop 126435      3.77623     2.01377     2.23614     3.40071
      17 Loop 125634      2.86018     2.65874     2.23614     3.40071
      18 Loop 126534      3.04419     2.49803     2.23614     3.40071
      19 Loop 124563      8.52853     0.89165     2.23614     3.40071
      20 Loop 124653      8.42453     0.90266     2.23614     3.40071
      21 Loop 125463      8.54053     0.89040     2.23614     3.40071
      22 Loop 126453      8.54453     0.88998     2.23614     3.40071
      23 Loop 125643      8.80055     0.86409     2.23614     3.40071
      24 Loop 126543      8.90456     0.85400     2.23614     3.40071
      25 Loop 132456      6.04437     1.25811     2.23614     3.40071
      26 Loop 132465      2.84818     2.66995     2.23614     3.40071
      27 Loop 132546      5.98038     1.27157     2.23614     3.40071
      28 Loop 132645      2.44415     3.11129     2.23614     3.40071
      29 Loop 132564      2.18414     3.48167     2.18414     3.48167
      30 Loop 132654      2.25613     3.37058     2.18414     3.48167
      31 Loop 142356     18.54115     0.41014     2.18414     3.48167
      32 Loop 142365     13.51283     0.56276     2.18414     3.48167
      33 Loop 152346      8.12051     0.93645     2.18414     3.48167
      34 Loop 162345      6.22839     1.22094     2.18414     3.48167
      35 Loop 152364      4.78030     1.59079     2.18414     3.48167
      36 Loop 162354      7.02043     1.08319     2.18414     3.48167
      37 Loop 142536     20.88530     0.36411     2.18414     3.48167
      38 Loop 142635     13.56085     0.56077     2.18414     3.48167
      39 Loop 152436      8.15652     0.93232     2.18414     3.48167
      40 Loop 162435      7.09247     1.07219     2.18414     3.48167
      41 Loop 152634      4.85632     1.56589     2.18414     3.48167
      42 Loop 162534      6.95242     1.09379     2.18414     3.48167
      43 Loop 142563     21.33734     0.35639     2.18414     3.48167
      44 Loop 142653     19.35721     0.39285     2.18414     3.48167
      45 Loop 152463      9.75262     0.77974     2.18414     3.48167
      46 Loop 162453     10.52066     0.72281     2.18414     3.48167
      47 Loop 152643     10.04465     0.75707     2.18414     3.48167
      48 Loop 162543     11.06470     0.68727     2.18414     3.48167
      49 Loop 134256      6.34442     1.19861     2.18414     3.48167
      50 Loop 134265      3.04019     2.50131     2.18414     3.48167
      51 Loop 135246      5.89236     1.29056     2.18414     3.48167
      52 Loop 136245      3.16422     2.40327     2.18414     3.48167
      53 Loop 135264      2.44415     3.11129     2.18414     3.48167
      54 Loop 136254      3.01620     2.52121     2.18414     3.48167
      55 Loop 143256     18.67715     0.40715     2.18414     3.48167
      56 Loop 143265     13.29681     0.57190     2.18414     3.48167
      57 Loop 153246      8.07251     0.94202     2.18414     3.48167
      58 Loop 163245      6.42038     1.18443     2.18414     3.48167
      59 Loop 153264      4.71231     1.61375     2.18414     3.48167
      60 Loop 163254      7.02444     1.08257     2.18414     3.48167
      61 Loop 145236     21.55338     0.35282     2.18414     3.48167
      62 Loop 146235     14.83694     0.51254     2.18414     3.48167
      63 Loop 154236     22.22141     0.34221     2.18414     3.48167
      64 Loop 164235      7.99249     0.95145     2.18414     3.48167
      65 Loop 156234      8.68451     0.87564     2.18414     3.48167
      66 Loop 165234      7.44049     1.02204     2.18414     3.48167
      67 Loop 145263     21.92139     0.34690     2.18414     3.48167
      68 Loop 146253     24.33356     0.31251     2.18414     3.48167
      69 Loop 154263     22.00537     0.34557     2.18414     3.48167
      70 Loop 164253     12.50879     0.60793     2.18414     3.48167
      71 Loop 156243     12.61273     0.60292     2.18414     3.48167
      72 Loop 165243     11.31671     0.67197     2.18414     3.48167
      73 Loop 134526      7.07648     1.07461     2.18414     3.48167
      74 Loop 134625      3.58820     2.11930     2.18414     3.48167
      75 Loop 135426      6.66443     1.14105     2.18414     3.48167
      76 Loop 136425      3.77625     2.01377     2.18414     3.48167
      77 Loop 135624      3.03619     2.50461     2.18414     3.48167
      78 Loop 136524      3.26819     2.32682     2.18414     3.48167
      79 Loop 143526     21.75336     0.34958     2.18414     3.48167
      80 Loop 143625     14.15686     0.53716     2.18414     3.48167
      81 Loop 153426      8.03650     0.94624     2.18414     3.48167
      82 Loop 163425      7.16046     1.06201     2.18414     3.48167
      83 Loop 153624      4.95630     1.53431     2.18414     3.48167
      84 Loop 163524      7.55646     1.00635     2.18414     3.48167
      85 Loop 145326     21.09729     0.36045     2.18414     3.48167
      86 Loop 146325     14.75293     0.51546     2.18414     3.48167
      87 Loop 154326     21.64136     0.35139     2.18414     3.48167
      88 Loop 164325      8.12054     0.93645     2.18414     3.48167
      89 Loop 156324      8.92853     0.85171     2.18414     3.48167
      90 Loop 165324      7.67645     0.99062     2.18414     3.48167
      91 Loop 145623     23.57349     0.32259     2.18414     3.48167
      92 Loop 146523     23.97748     0.31715     2.18414     3.48167
      93 Loop 154623     23.30548     0.32630     2.18414     3.48167
      94 Loop 164523     12.62885     0.60215     2.18414     3.48167
      95 Loop 156423     12.38879     0.61382     2.18414     3.48167
      96 Loop 165423     11.20868     0.67845     2.18414     3.48167
      97 Loop 134562      6.63239     1.14657     2.18414     3.48167
      98 Loop 134652      5.88037     1.29320     2.18414     3.48167
      99 Loop 135462      6.59637     1.15283     2.18414     3.48167
     100 Loop 136452      5.94836     1.27841     2.18414     3.48167
     101 Loop 135642      5.88037     1.29320     2.18414     3.48167
     102 Loop 136542      6.01239     1.26480     2.18414     3.48167
     103 Loop 143562     21.33734     0.35639     2.18414     3.48167
     104 Loop 143652     18.64917     0.40776     2.18414     3.48167
     105 Loop 153462      7.85645     0.96793     2.18414     3.48167
     106 Loop 163452      9.33258     0.81483     2.18414     3.48167
     107 Loop 153642      7.78046     0.97738     2.18414     3.48167
     108 Loop 163542      9.36859     0.81170     2.18414     3.48167
