 TESTING TRANSACCU TYPE 362514
 Hirata Reference =    9.412588     seconds
 Algorithm         Jeff           Speedup          Best
       1 Loop 123456      7.34046     1.28229     7.34046     1.28229
       2 Loop 123465      5.11232     1.84116     5.11232     1.84116
       3 Loop 123546      8.09251     1.16312     5.11232     1.84116
       4 Loop 123645      4.45228     2.11411     4.45228     2.11411
       5 Loop 123564      4.21626     2.23245     4.21626     2.23245
       6 Loop 123654      4.31227     2.18275     4.21626     2.23245
       7 Loop 124356     16.22501     0.58013     4.21626     2.23245
       8 Loop 124365     15.84899     0.59389     4.21626     2.23245
       9 Loop 125346      7.74449     1.21539     4.21626     2.23245
      10 Loop 126345      5.16833     1.82121     4.21626     2.23245
      11 Loop 125364      4.27627     2.20112     4.21626     2.23245
      12 Loop 126354      4.83630     1.94624     4.21626     2.23245
      13 Loop 124536     19.02919     0.49464     4.21626     2.23245
      14 Loop 124635     16.39702     0.57404     4.21626     2.23245
      15 Loop 125436      7.81248     1.20481     4.21626     2.23245
      16 Loop 126435      5.39233     1.74555     4.21626     2.23245
      17 Loop 125634      4.49628     2.09342     4.21626     2.23245
      18 Loop 126534      4.75630     1.97897     4.21626     2.23245
      19 Loop 124563     19.96124     0.47154     4.21626     2.23245
      20 Loop 124653     16.91306     0.55653     4.21626     2.23245
      21 Loop 125463      9.40858     1.00043     4.21626     2.23245
      22 Loop 126453      9.20058     1.02304     4.21626     2.23245
      23 Loop 125643      9.70061     0.97031     4.21626     2.23245
      24 Loop 126543      9.83661     0.95689     4.21626     2.23245
      25 Loop 132456      6.99644     1.34534     4.21626     2.23245
      26 Loop 132465      4.80431     1.95920     4.21626     2.23245
      27 Loop 132546      7.82849     1.20235     4.21626     2.23245
      28 Loop 132645      4.35629     2.16069     4.21626     2.23245
      29 Loop 132564      4.12427     2.28224     4.12427     2.28224
      30 Loop 132654      4.17224     2.25600     4.12427     2.28224
      31 Loop 142356     17.91312     0.52546     4.12427     2.28224
      32 Loop 142365     17.64508     0.53344     4.12427     2.28224
      33 Loop 152346      8.03650     1.17123     4.12427     2.28224
      34 Loop 162345      7.78448     1.20915     4.12427     2.28224
      35 Loop 152364      4.78430     1.96739     4.12427     2.28224
      36 Loop 162354      8.01651     1.17415     4.12427     2.28224
      37 Loop 142536     20.74930     0.45363     4.12427     2.28224
      38 Loop 142635     17.93314     0.52487     4.12427     2.28224
      39 Loop 152436      8.10852     1.16083     4.12427     2.28224
      40 Loop 162435      8.25250     1.14057     4.12427     2.28224
      41 Loop 152634      4.92429     1.91146     4.12427     2.28224
      42 Loop 162534      7.89249     1.19260     4.12427     2.28224
      43 Loop 142563     21.31732     0.44155     4.12427     2.28224
      44 Loop 142653     18.70117     0.50332     4.12427     2.28224
      45 Loop 152463      9.70059     0.97031     4.12427     2.28224
      46 Loop 162453     11.66074     0.80720     4.12427     2.28224
